Country,Neighboring Country,City 1,City 2,Distance
Hungary,Ukraine,Nyiregyhaza,Mykolaiv,240.40850323570587
Ireland,United Kingdom,Dublin,Liverpool,216.8691786687002
Italy,Austria,Milan,Dornbirn,221.0114684524376
Italy,France,Genoa,Nice,154.67771796043942
Italy,Slovenia,Bologna,Koper,221.55075433309403
Italy,Switzerland,Milan,Lugano,62.60871105327075
Italy,San Marino,Florence,San Marino,97.37351856760387
Italy,Vatican City,Rome,Vatican City,2.7481263307202872
Kazakhstan,Russia,Pavlodar,Omsk,378.3533333646366
Kosovo,Albania,Prizren,Shkoder,102.46271423609181
Kosovo,Montenegro,Vushtrri,Rozaje,66.03276228854149
Kosovo,Serbia,Vushtrri,Novi Pazar,51.81225280474246
Latvia,Belarus,Daugavpils,Minsk,229.2910245376383
Latvia,Estonia,Valmiera,Viljandi,91.57602311752947
Latvia,Lithuania,Daugavpils,Utena,71.95677328161354
Latvia,Russia,Valmiera,Saint Petersburg,389.249116701106
Liechtenstein,Austria,Ruggell,Dornbirn,25.129052974225836
Liechtenstein,Switzerland,Gamprin,Winterthur,66.0371744289692
Lithuania,Belarus,Alytus,Hrodna,82.90255496897906
Lithuania,Latvia,Utena,Daugavpils,71.95677328161354
Lithuania,Poland,Klaipeda,Gdansk,223.84437137347035
Lithuania,Russia,Utena,Saint Petersburg,568.2518590117755
Luxembourg,Belgium,Wiltz,Liege,79.1434915008909
Luxembourg,France,Remich,Strasbourg,146.68070292712872
Luxembourg,Germany,Vianden,Cologne,123.36800990383018
Moldova,Romania,Cahul,Bucharest,231.95916311598145
Moldova,Ukraine,Tiraspol,Odesa,92.40278396662715
Monaco,France,Monaco,Nice,12.535918780051441
Montenegro,Albania,Ulcinj,Shkoder,30.58742808542742
Montenegro,Bosnia and Herzegovina,Herceg Novi,Trebinje,33.224896174884215
Montenegro,Croatia,Herceg Novi,Split,206.75627827031653
Montenegro,Kosovo,Rozaje,Vushtrri,66.03276228854149
Montenegro,Serbia,Rozaje,Novi Pazar,45.05323533985722
Netherlands,Belgium,Breda,Antwerp,48.79758463262004
Netherlands,Germany,Nijmegen,Essen,90.81492528914492
Macedonia,Albania,Skopje,Tirana,500000
Macedonia,Bulgaria,Skopje,Sofia,500000
Macedonia,Greece,Skopje,Athens,500000
Macedonia,Kosovo,Skopje,Pristina,500000
Macedonia,Serbia,Skopje,Belgrade,500000
Norway,Sweden,Fredrikstad,Gothenburg,176.74749539201775
Poland,Belarus,Lublin,Brest,123.78822027824734
Poland,Germany,Szczecin,Berlin,127.09139151428434
Poland,Lithuania,Gdansk,Klaipeda,223.84437137347035
Poland,Slovakia,Krakow,Poprad,114.4074112854773
Poland,Ukraine,Lublin,Lviv,187.65393507354065
Portugal,Spain,Coimbra,Madrid,401.3009325957822
Romania,Bulgaria,Bucharest,Ruse,68.81163954693909
Romania,Hungary,Oradea,Debrecen,55.16496710377653
Romania,Moldova,Bucharest,Cahul,231.95916311598145
Romania,Serbia,Craiova,Nis,190.9194890497921
Romania,Ukraine,Cluj-Napoca,Mykolaiv,308.0756685818515
Russia,Azerbaijan,Samara,Baku,1427.4953469070938
Russia,Belarus,Moscow,Babruysk,614.0422200287226
Russia,Estonia,Saint Petersburg,Narva,135.1254410063273
