City,Connection 1,Distance 1,Connection 2,Distance 2,Connection 3,Distance 3,Connection 4,Distance 4,Connection 5,Distance 5,Connection 6,Distance 6,Connection 7,Distance 7,Connection 8,Distance 8,Connection 9,Distance 9
Minsk,Baranavichy,133.29874617999874,Babruysk,138.1658567482653,Babruysk,138.1658567482653,Mahilyow,182.3109987624709,Daugavpils,229.2910245376383,,,,,,,,
Homyel',Babruysk,141.40560743990605,Babruysk,141.40560743990605,Mahilyow,168.98040719491996,Minsk,279.321780608618,Kyiv,224.15321357634153,,,,,,,,
Mahilyow,Babruysk,112.75714454340076,Babruysk,112.75714454340076,Vitsyebsk,142.07891281304333,Homyel',168.98040719491996,,,,,,,,,,
Vitsyebsk,Mahilyow,142.07891281304333,Minsk,222.6832716278299,Babruysk,235.67659571663378,Babruysk,235.67659571663378,Moscow,471.10202937515925,,,,,,,,
Hrodna,Baranavichy,156.4248643350731,Brest,170.76085916144876,Pinsk,230.07820330587592,Minsk,246.61734840509354,Alytus,82.90255496897906,,,,,,,,
Brest,Pinsk,167.00102109207572,Hrodna,170.76085916144876,Baranavichy,194.1241373452267,Minsk,326.9246260794101,Lublin,123.78822027824734,,,,,,,,
Babruysk,Babruysk,0.0,Mahilyow,112.75714454340076,Minsk,138.1658567482653,Homyel',141.40560743990605,Babruysk,0.0,Mahilyow,112.75714454340076,Minsk,138.1658567482653,Homyel',141.40560743990605,,
Baranavichy,Pinsk,113.3465453114268,Minsk,133.29874617999874,Hrodna,156.4248643350731,Brest,194.1241373452267,,,,,,,,,,
Pinsk,Baranavichy,113.3465453114268,Brest,167.00102109207572,Minsk,221.28337171922507,Hrodna,230.07820330587592,,,,,,,,,,
Brussels,Aalst,24.220371007447905,Leuven,24.72499024084132,Antwerp,41.39959478567407,Gent,49.59547452565002,,,,,,,,,,
Antwerp,Aalst,40.02821998634072,Brussels,41.39959478567407,Leuven,42.688550606877925,Gent,50.511428337106466,Breda,48.79758463262004,,,,,,,,
Gent,Aalst,25.435282831013748,Bruges,38.99791256648025,Brussels,49.59547452565002,Antwerp,50.511428337106466,,,,,,,,,,
Charleroi,Namur,31.58025696388047,Mons,34.68583365949987,Brussels,49.9967414763714,Leuven,56.93612710326472,,,,,,,,,,
Liege,Namur,53.32051164534577,Leuven,66.95773650509956,Charleroi,84.70736178112385,Brussels,88.74585189235125,Cologne,102.61012576102937,Wiltz,79.1434915008909,,,,,,
