Country,Neighboring Country,City 1,City 2,Distance
Moldova,Ukraine,Tiraspol,Odesa,92.40278396662715
Monaco,France,Monaco,Nice,12.535918780051441
Montenegro,Albania,Ulcinj,Shkoder,30.58742808542742
Montenegro,Bosnia and Herzegovina,Herceg Novi,Trebinje,33.224896174884215
Montenegro,Croatia,Herceg Novi,Split,206.75627827031653
Montenegro,Kosovo,Rozaje,Peje,22.69163798850019
Montenegro,Serbia,Rozaje,Novi Pazar,45.05323533985722
Netherlands,Belgium,Breda,Antwerp,48.79758463262004
Netherlands,Germany,Nijmegen,Essen,90.81492528914492
Norway,Sweden,Fredrikstad,Gothenburg,176.74749539201775
Poland,Belarus,Lublin,Brest,123.78822027824734
Poland,Germany,Szczecin,Berlin,127.09139151428434
Poland,Lithuania,Gdansk,Klaipeda,223.84437137347035
Poland,Slovakia,Krakow,Poprad,114.4074112854773
Poland,Ukraine,Lublin,Lviv,187.65393507354065
Portugal,Spain,Setubal,Sevilla,292.01828968197094
Romania,Bulgaria,Bucharest,Ruse,68.81163954693909
Romania,Hungary,Oradea,Debrecen,55.16496710377653
Romania,Moldova,Iasi,Ungheni,18.249383678910295
Romania,Serbia,Timisoara,Zrenjanin,77.67148309278807
Romania,Ukraine,Galati,Odesa,238.71696723888886
Russia,Azerbaijan,Rostov,Ganca,901.9135570258402
Russia,Belarus,Moscow,Vitsyebsk,471.10202937515925
Russia,Estonia,Saint Petersburg,Narva,135.1254410063273
Russia,Finland,Saint Petersburg,Kouvola,223.0448578798223
Russia,Georgia,Rostov,Zugdidi,552.3831591046811
Russia,Kazakhstan,Omsk,Pavlodar,378.3533333646366
Russia,Lithuania,Saint Petersburg,Utena,568.2518590117755
Russia,Latvia,Saint Petersburg,Valmiera,389.249116701106
Russia,Norway,Saint Petersburg,Sarpsborg,1078.7505531832005
Russia,Poland,Saint Petersburg,Gdansk,937.6941264376912
Russia,Ukraine,Rostov,Mariupol,163.2992932412572
San Marino,Italy,San Marino,Florence,97.37351856760387
Serbia,Bosnia and Herzegovina,Novi Sad,Bijeljina,74.5926596867107
Serbia,Bulgaria,Nis,Sofia,135.3999175505697
Serbia,Croatia,Novi Sad,Osijek,95.69077038069109
Serbia,Hungary,Subotica,Szeged,40.722430334095044
Serbia,Kosovo,Novi Pazar,Mitrovice,41.09934165762452
Serbia,Montenegro,Novi Pazar,Rozaje,45.05323533985722
Serbia,Romania,Zrenjanin,Timisoara,77.67148309278807
Slovakia,Austria,Bratislava,Vienna,55.1299170951827
Slovakia,Hungary,Bratislava,Gyor,64.35847490420706
Slovakia,Poland,Poprad,Krakow,114.4074112854773
Slovakia,Ukraine,Presov,Lviv,222.57144341514473
Slovenia,Austria,Kranj,Klagenfurt,42.93756758164656
Slovenia,Croatia,Ptuj,Varazdin,38.01279314012571
Slovenia,Hungary,Maribor,Szombathely,105.73289634815907
Slovenia,Italy,Koper,Bologna,221.55075433309406
Spain,Andorra,Barcelona,Escaldes-Engordany,135.84869038345042
Spain,France,Barcelona,Toulouse,254.27420300472784
Spain,Portugal,Sevilla,Setubal,292.01828968197094
Sweden,Denmark,Malmo,Copenhagen,30.36184322918433
Sweden,Finland,Lulea,Oulu,166.67674075525318
Sweden,Norway,Gothenburg,Fredrikstad,176.74749539201775
Switzerland,Austria,Sankt Gallen,Dornbirn,28.54163224720945
Switzerland,France,Geneva,Lyon,112.29165781878551
Switzerland,Germany,Winterthur,Stuttgart,146.06556064205336
Switzerland,Italy,Lugano,Milan,62.60871105327075
Switzerland,Liechtenstein,Sankt Gallen,Ruggell,23.384275271236483
Turkey,Armenia,Gaziantep,Ejmiatsin,692.7552073211848
Turkey,Azerbaijan,Gaziantep,Naxcivan,741.670862875648
Turkey,Bulgaria,Istanbul,Burgas,206.38064407807298
Turkey,Greece,Antalya,Rodos,227.12670841375945
Turkey,Georgia,Kayseri,Batumi,615.3742956446946
Ukraine,Belarus,Kyiv,Homyel',224.15321357634153
Ukraine,Hungary,Lviv,Nyiregyhaza,269.2894997960617
Ukraine,Moldova,Odesa,Tiraspol,92.40278396662715
Ukraine,Poland,Lviv,Lublin,187.65393507354065
Ukraine,Romania,Odesa,Galati,238.71696723888886
Ukraine,Russia,Mariupol,Rostov,163.2992932412572
Ukraine,Slovakia,Lviv,Presov,222.57144341514473
United Kingdom,Ireland,Liverpool,Dublin,216.8691786687002
Vatican City,Italy,Vatican City,Rome,2.748126330720287
